property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
PENINSULA EAST Tower 1,Yau Tong,3,12500000,8,829,TRUE,22.2940712,114.2345453,40,10,230,2,142,30,17,4,57,14,15
Heya Star Tower 2,Cheung Sha Wan,2,7500000,10,520,TRUE,22.3389249,114.1559884,29,7,664,8,244,61,20,2,142,37,3
Eltanin‧Square Mile Tower 2,Tai Kok Tsui,1,4800000,8,259,TRUE,22.3207471,114.161429,23,7,1041,7,343,96,44,10,213,70,6
SCENEWAY GARDEN BLOCK 9,Lam Tin,3,8380000,33,718,TRUE,22.3058319,114.2336569,40,2,497,13,188,64,19,3,73,46,1
YOHO TOWN Phase 2 Yoho Midtown BLOCK M6,Yuen Long Station,4,11800000,15,940,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
Kwai Chung Plaza Block 1,Ha Kwai Chung,2,4900000,35,318,FALSE,22.3582607,114.1271935,34,6,592,5,207,71,29,7,92,48,0
No. 63 Pok Fu Lam Road Tower 2 (Emerald House),Mid-Levels West,2,8800000,5,310,FALSE,22.2852744,114.1379572,18,8,528,7,142,59,29,5,55,24,9
Lei King Wan Sites C Block 10 Yee Qun Mansion,Sai Wan Ho,3,11500000,36,808,FALSE,22.2852102,114.2235878,29,6,486,9,125,64,10,5,68,37,20
Lohas Park Phase 5A Malibu Tower 1B,Lohas Park,2,8000000,6,457,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
MOUNT REGENCY Phase 1 Tower 1A,Tuen Mun San Hui,2,5500000,5,447,FALSE,22.4058252,113.9815041,72,17,368,4,132,46,20,2,62,28,0
AQUILA.SQUARE MILE TOWER 2,Tai Kok Tsui,2,8000000,3,399,FALSE,22.320596,114.1605667,22,5,809,7,323,87,43,8,206,67,6
Garden Rivera Block E,Sha Tin,1,5000000,40,269,FALSE,22.3814162,114.1958373,45,10,605,16,155,84,17,11,95,45,1
