property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
Tung Chung Crescent Phase 2 Block 6,Tung Chung Town Centre,2,7180000,26,607,FALSE,22.2880911,113.9398923,52,9,222,4,60,16,8,4,8,12,0
THE WINGS II Tower 1B,Tseung Kwan O,3,12900000,11,826,FALSE,22.3059161,114.260782,43,5,332,8,185,28,7,6,31,26,0
HOLFORD GARDENS Fook Ki Court (Block 3),Tai Wai,2,3700000,40,409,FALSE,22.37326,114.177076,38,18,456,11,106,48,10,9,75,31,1
MANOR HILL Tower 2,Lohas Park,1,3700000,3,281,FALSE,22.2961803,114.2736406,49,11,61,2,52,7,0,0,2,7,0
NERINE COVE Block 3,Tuen Mun South,2,4650000,25,547,FALSE,22.382417,113.9712892,60,25,458,8,139,65,18,4,74,25,1
KINGSWOOD VILLAS PHASE 2 SHERWOOD COURT Block 5,Tin Shui Wai,3,5400000,32,633,FALSE,22.452544,114.002175,58,14,433,8,156,64,6,4,30,26,5
Beneville Block 3,Siu Hong,2,4300000,21,423,TRUE,22.4119284,113.9840463,74,9,245,2,101,20,11,4,53,26,0
Grand Waterfront Tower 6,To Kwa Wan,3,8900000,18,550,TRUE,22.3192132,114.1933328,43,12,401,6,286,54,40,2,110,14,1
TAIKOO SHING HORIZON GARDENS (T-55) Kai Tien Mansion,Taikoo Shing,2,11980000,38,680,FALSE,22.2864438,114.2175719,25,8,427,6,126,66,14,4,67,27,18
YUCCIE SQUARE TOWER 2,Long Ping,2,5500000,8,426,TRUE,22.4467627,114.0278791,59,5,627,8,103,67,14,6,46,52,1
AMOY GARDENS PHASE 1 Block B,Kowloon Bay,2,4800000,44,375,FALSE,22.3266646,114.2078426,37,23,560,7,199,62,28,9,94,44,1
BELVEDERE GARDEN PHASE 2 Block 4,Belvedere,3,5500000,35,572,FALSE,22.3715791,114.1005017,48,21,187,3,123,18,15,2,50,11,0
FLORIENT RISE Tower 3,Olympic Station,2,8800000,16,485,TRUE,22.317771,114.16022,16,0,692,5,280,75,38,4,197,45,6
KWAI FONG TERRACE Block 2,Ha Kwai Chung,2,4550000,41,415,FALSE,22.3554091,114.1285933,35,4,552,5,183,59,23,6,81,55,0
Florient Rise Tower 2,Olympic Station,2,8500000,16,448,TRUE,22.3184328,114.1617941,19,3,998,5,318,85,45,6,212,64,6
NEW KWAI FONG GARDENS Block E,Ha Kwai Chung,2,5050000,42,408,FALSE,22.3574317,114.1288033,34,6,582,5,194,68,30,7,89,49,0
LEI KING WAN SITES B Block 8 Yat Wah Mansion,Sai Wan Ho,2,7700000,37,574,FALSE,22.2856946,114.2241903,30,7,473,9,125,62,10,5,69,37,20
Siu Hong Court Siu Yan House (Block G),Siu Hong,2,3000000,42,429,FALSE,22.4112883,113.9769258,72,15,400,5,125,39,11,3,59,37,0
Wah Lok Mansion,Chi Lok,2,2600000,43,320,FALSE,22.3891849,113.9792938,61,20,463,8,147,54,18,5,82,31,0
LOHAS PARK PHASE 5A MALIBU TOWER 1B,Lohas Park,3,12880000,6,804,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
GOLDEN LION GARDEN PHASE 2 Golden Mascot Court (Block B),Tai Wai,2,3800000,37,336,FALSE,22.3677113,114.1743834,49,9,362,10,91,40,6,7,44,23,1
Caine Hill,Mid-Levels West,1,7800000,2,278,FALSE,22.2816305,114.151621,9,12,839,4,139,75,24,4,48,65,10
Sereno Verde PHASE 5 REACH SUMMIT TOWER 1,Yuen Long Southeast,1,3080000,5,282,FALSE,22.4366279,114.0311048,65,20,310,2,102,31,14,3,50,12,1
SIU HEI COURT Shun Hei House (Block C),Tuen Mun Ferry Pier,1,2800000,39,338,FALSE,22.3739497,113.9672465,72,47,256,6,102,32,4,5,49,12,1
NOVO LAND Phase 1B Bergen Tower 3,Siu Hong,1,3200000,2,294,FALSE,22.4109519,113.9697839,84,25,388,9,136,35,11,6,56,38,0
IMPERIAL VILLAS PHASE 2 Tower 11,Ping Shan,1,3280000,21,364,TRUE,22.4408675,114.0075706,62,16,171,0,125,21,9,3,38,15,2
ILLUMINATION TERRACE Block 1,Tai Hang Mid-Levels,2,18000000,32,800,TRUE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
METRO TOWN PHASE 1 Tower 5,Tiu Keng Leng,3,8350000,19,642,FALSE,22.3049429,114.2518906,39,9,233,6,226,10,2,4,38,21,0
BANYAN GARDEN Phase 3 Tower 6,Four Little Dragons,2,6880000,21,440,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
CHEUNG ON ESTATE ON TAO HOUSE (BLOCK 4),Tsing Yi,1,1430000,37,354,FALSE,22.3605076,114.1046833,34,11,456,7,170,66,18,4,60,36,0
TANNER GARDEN BLOCK 1,North Point,3,9280000,34,654,FALSE,22.2901249,114.202142,22,4,504,6,173,50,5,5,66,30,5
Cetus‧Square Mile Tower 2,Tai Kok Tsui,1,7000000,5,249,TRUE,22.3200543,114.1614936,22,6,1043,6,331,95,44,7,214,68,6
KAM TAI COURT Kam Wei House (Block E),Ma On Shan,3,6620000,24,650,FALSE,22.4094427,114.2217126,62,6,130,5,62,14,4,0,22,4,0
KINGSWOOD VILLAS PHASE 6 MAYWOOD COURT BLOCK 3,Tin Shui Wai,3,4680000,27,544,FALSE,22.4612642,114.0061941,74,26,384,7,157,61,6,3,31,22,4
KINGSWOOD VILLAS PHASE 6 MAYWOOD COURT Block 3,Tin Shui Wai,3,4900000,27,540,FALSE,22.4612642,114.0061941,74,26,384,7,157,61,6,3,31,22,4
GRAND PROMENADE Tower 2,Sai Wan Ho,2,8680000,20,490,TRUE,22.2824738,114.2227035,24,1,544,10,121,76,10,5,61,39,20
KA SHING COURT KA MING HOUSE (BLOCK A),Fanling,2,4150000,30,433,FALSE,22.4945831,114.1346586,68,16,469,8,154,77,22,5,43,25,2
LOHAS PARK PHASE 5A MALIBU TOWER 2A,Lohas Park,2,6000000,6,459,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Lohas Park PHASE 3A HEMERA Diamond (Tower 1),Lohas Park,4,11280000,10,942,FALSE,22.297096,114.2699179,53,9,69,2,87,9,0,0,7,6,0
CARIBBEAN COAST PHASE 1 MONTEREY COVE Tower 3,Tung Chung Town Centre,2,5600000,22,471,FALSE,22.293503,113.9513886,61,22,119,1,33,5,8,2,4,6,1
NEW KWAI FONG GARDENS BLOCK D,Ha Kwai Chung,2,4500000,42,415,FALSE,22.3570687,114.1287139,35,5,577,5,193,64,27,7,89,51,0
One Soho,Mong Kok,1,6500000,2,285,FALSE,22.3166637,114.168095,23,6,1343,9,374,101,47,7,219,81,8
Mei Foo Sun Chuen Phase 1 6-8 Broadway,Mei Foo,3,12000000,56,913,FALSE,22.336136,114.13731,31,3,300,2,109,35,8,1,40,22,0
THE METRO CITY Phase 1 Tower 1,Po Lam,3,6400000,28,526,FALSE,22.320638,114.257289,46,4,451,6,202,67,10,6,44,27,0
LOHAS PARK PHASE 1 THE CAPITOL MONTREAL (TOWER 3 - R WING),Lohas Park,3,7100000,16,716,FALSE,22.2962328,114.2710019,49,2,64,2,58,9,0,0,3,6,0
LAGUNA CITY PHASE 4 Block 21,Lam Tin,3,10380000,30,748,FALSE,22.3080199,114.2375638,55,18,446,13,216,67,19,3,70,35,0
KORNHILL Block C (Flat 9 - 16),Kornhill,3,8000000,39,594,FALSE,22.2800978,114.2149295,32,12,362,5,136,51,14,4,64,25,5
WINDSOR COURT,Mid-Levels West,2,5350000,31,318,FALSE,22.2822329,114.150229,11,12,839,4,143,75,24,7,53,66,10
CHELSEA HEIGHTS PHASE 1 Block 1,Tuen Mun North,2,4700000,27,511,FALSE,22.4021803,113.9748602,69,13,578,12,188,65,20,6,89,41,0
The Esplanade,Tuen Mun South,3,21600000,5,897,TRUE,22.3864777,113.968837,72,17,441,5,163,54,18,3,83,29,1
CENTURY GATEWAY Phase 1 Tower 1,Tuen Mun Town Centre,3,7180000,12,619,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
KAI TAK GARDEN Block 2,Wong Tai Sin,2,4300000,26,554,TRUE,22.3375622,114.1950626,42,12,863,20,318,145,42,10,133,51,1
Horizon Place Block 1,Ha Kwai Chung,2,5000000,22,403,FALSE,22.355777,114.131286,40,11,508,2,184,60,25,5,79,50,0
Park Yoho Phase 1A Tower 10A,Kam Tin,3,6000000,10,640,FALSE,22.4514728,114.0521209,58,38,48,0,18,5,1,0,15,2,6
CHELSEA HEIGHTS PHASE 1 Block 2,Tuen Mun North,3,6800000,27,679,FALSE,22.4018762,113.9746589,68,13,588,12,192,65,20,6,91,39,0
NAM CHEONG ESTATE Cheong Chung House (Block 1),Cheung Sha Wan,2,3300000,36,428,FALSE,22.3358055,114.1494892,28,7,626,10,223,52,21,3,122,46,2
WOODVIEW COURT Block 1,Kwun Tong,2,3300000,49,534,FALSE,22.3197957,114.2204187,52,14,742,6,227,91,32,10,97,57,0
MOUNT REGENCY Phase 1 Tower 1A,Tuen Mun San Hui,1,2680000,5,312,FALSE,22.4058252,113.9815041,72,17,368,4,132,46,20,2,62,28,0
CENTURY GATEWAY Phase 1 Tower 1,Tuen Mun Town Centre,3,9000000,12,722,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Kam Yuck Building,Shek Kip Mei,1,2650000,44,234,FALSE,22.3346493,114.1669263,33,6,881,13,375,89,32,8,208,43,6
ALLWAY GARDEN Block M,Tsuen King Circuit,2,3980000,45,468,TRUE,22.3786522,114.1036867,52,30,229,2,95,29,13,3,56,8,0
Carson Mansion,Tsuen Wan Town Centre,3,5000000,51,424,FALSE,22.3727477,114.1161124,41,5,793,9,204,86,19,7,125,58,0
One Regent Place Tower 1,Yuen Long Station,2,4400000,13,463,TRUE,22.4497082,114.0317011,63,10,516,6,101,51,14,6,44,47,1
Cheung Ling Mansion,Sai Ying Pun,2,4500000,45,309,FALSE,22.2880897,114.1394668,20,11,502,6,139,62,27,6,57,21,9
Kingswood Villas Phase 6 Maywood Court BLOCK 1,Tin Shui Wai,2,3980000,27,441,FALSE,22.4612642,114.0061941,74,26,384,7,157,61,6,3,31,22,4
SkyeHi,Tuen Mun San Hui,1,3050000,2,265,FALSE,22.3989729,113.9789238,67,15,453,8,199,50,20,4,90,33,0
Sun Kwai Hing Gardens Block C,Ha Kwai Chung,2,5980000,42,480,TRUE,22.355777,114.131286,40,11,508,2,184,60,25,5,79,50,0
VERBENA HEIGHTS Block 3,Po Lam,3,4600000,28,569,FALSE,22.3226055,114.255872,47,5,360,5,179,54,10,5,44,19,0
PAK CHEUNG BUILDING 26-28 TUNG CHOI STREET,Mong Kok,3,3600000,64,501,FALSE,22.3179108,114.1711544,21,5,1319,9,446,107,54,7,250,66,8
TUNG CHUNG CRESCENT Phase 2 Block 9,Tung Chung Town Centre,3,8800000,26,868,FALSE,22.2883158,113.9387306,56,12,220,4,60,17,8,4,8,12,0
HONG NING BUILDING,Kwun Tong,2,1800000,58,295,FALSE,22.315081,114.2240502,49,8,752,9,205,91,28,8,90,66,0
JARDINE BUILDING,Causeway Bay,3,4500000,59,521,FALSE,22.2792413,114.1848778,15,3,810,7,169,108,27,5,85,50,9
YUCCIE SQUARE TOWER 5,Long Ping,3,7800000,8,645,TRUE,22.4467627,114.0278791,59,5,627,8,103,67,14,6,46,52,1
Tung Ho Building,Shau Kei Wan,1,2980000,41,220,FALSE,22.2772656,114.2301569,29,5,405,7,157,44,25,5,71,22,20
LOWER WONG TAI SIN (1) ESTATE LUNG FUNG HOUSE (BLOCK 2),Wong Tai Sin,2,3200000,34,443,FALSE,22.339043,114.193672,38,8,901,23,310,159,42,10,129,44,1
CENTURY GATEWAY PHASE 1 Tower 3,Tuen Mun Town Centre,3,9200000,12,720,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Park Signature Tower 7,Shap Pat Heung,2,4800000,11,556,TRUE,22.4274166,114.0347095,72,36,80,0,41,3,6,0,27,1,1
OCEANIA HEIGHTS Tower 1,Tuen Mun South,2,4960000,21,485,TRUE,22.3840649,113.9711353,56,21,510,8,150,71,18,4,76,25,1
TAK BO GARDEN Block A,Kowloon Bay,1,3400000,40,265,TRUE,22.3267267,114.2142159,47,19,669,11,191,94,24,9,84,42,0
The Reach Tower 2,Yuen Long Southeast,2,4820000,11,424,TRUE,22.4377411,114.0322155,63,16,367,2,103,33,14,4,49,24,1
KINGSWOOD VILLAS PHASE 1 LOCWOOD COURT Block 11,Tin Shui Wai,2,4300000,33,448,FALSE,22.4522263,113.9995766,62,16,432,7,153,61,6,4,30,26,4
TIN FU COURT Yuen Fu House (Block A),Tin Shui Wai,3,4980000,24,650,FALSE,22.4630699,113.9978068,65,36,440,10,157,54,6,5,30,26,3
CHI FU FA YUEN Fu King Yuen (Block H-4),Pok Fu Lam,2,5400000,46,439,FALSE,22.2560114,114.1388354,38,78,215,5,84,26,9,2,27,17,1
#LYOS Maisonette Building C,Hung Shui Kiu North New Development Area,3,11500000,2,779,FALSE,22.4381245,113.9958083,81,28,134,1,57,15,3,2,32,8,2
TAIKOO SHING KWUN HOI TERRACE (T-54) Nam Hoi Mansion,Taikoo Shing,2,9100000,40,587,FALSE,22.2864029,114.2205882,30,10,438,7,110,58,14,6,62,28,19
Kwai Lok Building,Ha Kwai Chung,2,3700000,51,426,FALSE,22.3604269,114.126912,38,11,688,12,216,73,27,9,101,46,0
2Gether,Tuen Mun Ferry Pier,2,6980000,8,527,TRUE,22.3717798,113.9660391,67,43,225,6,80,34,4,5,37,9,1
WYLER GARDENS HANG CHIEN COURT Block F,To Kwa Wan,2,4500000,46,421,FALSE,22.3182214,114.1916543,38,9,481,6,293,65,44,2,112,15,1
SOL CITY TOWER 2,Long Ping,2,6000000,6,484,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
CHELSEA HEIGHTS Phase 1 Block 1,Tuen Mun North,2,4780000,27,511,FALSE,22.4021803,113.9748602,69,13,578,12,188,65,20,6,89,41,0
SkyeHi,Tuen Mun San Hui,1,3750000,2,285,FALSE,22.3989729,113.9789238,67,15,453,8,199,50,20,4,90,33,0
Marina Garden Block 1,Tuen Mun Ferry Pier,2,5000000,33,474,FALSE,22.3726577,113.9708016,73,40,188,6,101,26,4,4,40,8,2
CENTURY GATEWAY Phase 2 Tower 6,Tuen Mun Town Centre,2,5600000,11,474,FALSE,22.3949348,113.9738973,60,2,627,15,187,71,20,11,100,40,0
Cheong Wah Building,Sham Shui Po,4,5680000,54,471,FALSE,22.3317199,114.1653412,28,6,1051,15,415,115,30,9,219,46,6
Lei On Court Lei Ting House (Block F),Lam Tin,3,6500000,23,663,FALSE,22.3086883,114.2327494,45,14,596,16,206,75,25,4,81,52,0
DOUBLE COVE Phase 1 BLOCK 5,Wu Kai Sha,2,7800000,12,512,TRUE,22.4317226,114.2423933,61,5,106,2,53,5,4,1,17,9,0
PARK CENTRAL PHASE 1 TOWER 7,Tseung Kwan O,2,5950000,23,384,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
LOHAS PARK PHASE 1 THE CAPITOL MONTREAL (TOWER 3 - R WING),Lohas Park,3,6800000,16,680,FALSE,22.2962328,114.2710019,49,2,64,2,58,9,0,0,3,6,0
LOHAS PARK PHASE 6 LP6 Tower 5,Lohas Park,1,3850000,5,307,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
DOUBLE COVE PHASE 1 BLOCK 3,Wu Kai Sha,3,12660000,12,799,TRUE,22.4317226,114.2423933,61,5,106,2,53,5,4,1,17,9,0
THE AURORA TOWER 1,Tsuen Wan West,2,8000000,5,457,TRUE,22.367227,114.1152665,46,11,736,10,235,79,21,5,130,57,0
PARK CENTRAL PHASE 1 Tower 9,Tseung Kwan O,3,7100000,23,547,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
La Cite Noble Block 4,Hang Hau,2,4700000,26,377,TRUE,22.3143993,114.2662381,44,4,444,7,199,53,10,6,41,28,0
ONE REGENT PLACE TOWER 2,Yuen Long Station,1,3920000,13,353,TRUE,22.4494279,114.0314799,64,11,536,6,101,55,14,6,44,47,1
DOUBLE COVE PHASE 2 DOUBLE COVE STARVIEW Block 19,Wu Kai Sha,1,6650000,11,523,FALSE,22.4298983,114.2451658,61,5,110,2,47,5,4,1,15,9,0
PRIME VIEW GARDEN Block 4,Tuen Mun San Hui,2,3200000,40,399,FALSE,22.4032061,113.9803345,68,17,398,6,177,49,20,1,70,25,0
DOUBLE COVE PHASE 1 BLOCK 2,Wu Kai Sha,3,11420000,12,798,TRUE,22.4317226,114.2423933,61,5,106,2,53,5,4,1,17,9,0
Lohas Park PHASE 6 LP6 Tower 3,Lohas Park,2,6000000,5,463,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
Monterey Tower 9A,Tseung Kwan O,3,15800000,7,841,TRUE,22.302423,114.2616222,49,10,227,3,163,20,7,5,26,24,0
The Metro City PHASE 2 Tower 5,Po Lam,3,8080000,25,713,FALSE,22.3231863,114.2577924,42,1,393,5,169,59,10,5,42,19,0
DOUBLE COVE Phase 1 BLOCK 1,Wu Kai Sha,2,8000000,12,548,TRUE,22.4320071,114.2419183,62,7,105,2,53,5,4,1,17,9,0
ISLAND CREST TOWER 2,Sai Ying Pun,2,20000000,15,833,TRUE,22.2863769,114.1426742,14,3,635,8,142,77,27,8,59,28,9
RIVIERA GARDENS HOI NING MANSION (BLOCK 17),Tsuen Wan Hoi Bun,3,6380000,35,647,FALSE,22.3620725,114.1138363,51,31,505,5,265,51,30,2,108,42,0
CITY POINT BLOCK 7,Tsuen Wan West,2,6800000,11,482,TRUE,22.3638955,114.1154058,43,14,640,6,256,71,30,4,115,45,0
THE WINGS THE WINGS TOWER 1,Tseung Kwan O,2,9400000,14,533,TRUE,22.3082447,114.2595131,50,11,406,9,199,39,10,6,37,34,0
DOUBLE COVE PHASE 4 DOUBLE COVE GRANDVIEW BLOCK 6,Wu Kai Sha,2,9500000,9,546,FALSE,22.4317226,114.2423933,61,5,106,2,53,5,4,1,17,9,0
ALTISSIMO Tower 5,Wu Kai Sha,2,8500000,5,523,TRUE,22.4345453,114.2434341,66,13,71,2,43,4,4,1,13,6,0
SUMMIT TERRACE BLOCK 3,Tsuen King Circuit,2,5500000,22,424,TRUE,22.3756737,114.1056575,48,21,361,3,127,38,13,4,80,19,0
IMPERIAL KENNEDY,Kennedy Town,2,15000000,9,622,TRUE,22.2825073,114.128518,16,4,344,6,118,49,24,4,40,17,1
THE PAVILIA FARM PHASE 1 TOWER 3 (3A),Tai Wai,1,7900000,3,357,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
THE PAVILIA FARM Phase 2 TOWER 5 (5A),Tai Wai,2,9600000,3,462,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
RIVIERA GARDENS Hoi Yat Mansion (Block 19),Tsuen Wan Hoi Bun,3,6000000,35,700,FALSE,22.361943,114.11422,43,28,510,5,267,55,30,2,108,42,0
LOHAS PARK PHASE 10 LP10 TOWER 1 (1A),Lohas Park,2,8200000,3,640,FALSE,22.292477,114.267387,51,15,69,2,44,7,0,0,1,7,0
LAKE SILVER Tower 7,Wu Kai Sha,2,8500000,16,564,TRUE,22.4285438,114.2449437,58,3,115,2,49,5,4,1,16,11,0
ST MARTIN PHASE 1 Tower 3,Pak Shek Kok,3,12800000,6,851,FALSE,22.4304597,114.2037113,61,41,81,0,21,5,0,0,5,10,2
METRO HARBOUR VIEW PHASE II TOWER 8,Tai Kok Tsui,2,6200000,22,436,FALSE,22.3244104,114.1603631,27,11,927,7,360,77,44,7,220,59,6
GREENFIELD GARDEN PHASE 1 TOWER 2,Tsing Yi,2,4600000,35,368,FALSE,22.3514246,114.1083786,40,18,446,7,124,67,5,6,33,27,0
SEAVIEW CRESCENT BLOCK 3,Tung Chung Town Centre,3,11000000,23,855,FALSE,22.292196,113.9421724,67,13,188,2,58,17,8,3,8,13,0
THE WATERSIDE Tower 2,Ma On Shan,2,5800000,28,482,FALSE,22.4251186,114.2281701,59,6,326,4,79,46,4,3,25,24,1
SILICON HILL University Hill Phase 2A Silicon Hill Marina Tower 1,Pak Shek Kok,2,6500000,1,428,FALSE,22.4273835,114.2021161,61,36,107,0,21,6,1,0,5,10,2
Altissimo Tower 2,Wu Kai Sha,3,18000000,5,832,TRUE,22.4345453,114.2434341,66,13,71,2,43,4,4,1,13,6,0
Parc Oasis Tower 32 (23 Grandeur rd),Yau Yat Tsuen,3,14880000,30,792,FALSE,22.3325416,114.1744254,35,11,725,9,444,95,46,6,245,31,7
LA CITE NOBLE BLOCK 3,Hang Hau,2,6000000,26,434,TRUE,22.314059,114.2666505,45,4,430,7,198,52,10,6,40,28,0
THE WINGS THE WINGS TOWER 6,Tseung Kwan O,2,9200000,14,539,TRUE,22.3082447,114.2595131,50,11,406,9,199,39,10,6,37,34,0
The Grandiose Block 3,Tseung Kwan O,3,12390000,19,671,FALSE,22.3090272,114.2616214,44,6,402,6,200,42,10,6,36,29,0
RIVIERA GARDENS Hoi Kwun Mansion (Block 9),Tsuen Wan Hoi Bun,3,5380000,36,497,FALSE,22.3610945,114.1123615,48,32,467,6,261,52,30,3,98,43,0
CULLINAN WEST Phase 5 Cullinan West III Tower 8,Nam Cheong Station,2,8900000,6,417,FALSE,22.3267772,114.1536799,18,0,536,8,271,49,25,6,183,32,5
Liberte Block 3,Four Little Dragons,2,7280000,22,512,TRUE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
BELVEDERE GARDEN PHASE 2 BLOCK 8,Belvedere,3,5300000,35,572,FALSE,22.3713366,114.0991809,52,24,159,3,112,15,9,2,45,7,0
DISCOVERY PARK Phase 3 Block 10,Discovery Park,2,6900000,27,493,FALSE,22.3758263,114.1125959,44,9,651,6,160,67,14,5,104,56,0
THE METRO CITY PHASE 2 TOWER 9,Po Lam,2,5600000,25,363,FALSE,22.3231863,114.2577924,42,1,393,5,169,59,10,5,42,19,0
TAIKOO SHING HARBOUR VIEW GARDENS (EAST) (T-40) BEGONIA MANSION,Taikoo Shing,3,13500000,40,897,FALSE,22.2876294,114.2190347,29,11,399,6,123,61,14,4,67,27,19
Grand Victoria Phase 2 Tower 5,Nam Cheong Station,3,16800000,2,797,FALSE,22.3193039,114.1693611,17,0,1334,7,451,104,53,6,237,73,7
PARC CITY Tower 7,Tsuen Wan West,1,7500000,7,481,TRUE,22.3699122,114.1144306,47,11,748,7,222,83,21,5,126,55,0
LAKE SILVER Tower 8,Wu Kai Sha,2,8300000,16,539,TRUE,22.4280089,114.2447848,58,3,115,2,50,5,4,1,17,11,0
DOUBLE COVE PHASE 4 DOUBLE COVE GRANDVIEW BLOCK 7,Wu Kai Sha,2,7100000,9,496,FALSE,22.4316969,114.2411852,63,7,110,2,58,6,4,1,18,9,0
The Belcher's Phase 1 Tower 1,Mid-Levels West,3,21300000,24,889,FALSE,22.2816223,114.147865,9,14,788,6,152,74,25,7,57,48,9
LOHAS PARK PHASE 4A WINGS AT SEA TOWER 2B,Lohas Park,2,6100000,6,473,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
OCEAN PRIDE PHASE 3 TOWER 8,Tsuen Wan West,3,13960000,7,777,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
OCEAN VIEW TOWER 1,Ma On Shan,3,9880000,22,687,TRUE,22.4139617,114.222665,63,8,231,6,71,33,7,2,27,14,1
Lohas Park Phase 2B Le Prime Tower 8 - L Wing,Lohas Park,3,6900000,14,678,FALSE,22.2954739,114.2718487,50,8,64,2,53,8,0,0,2,7,0
SORRENTO Phase 1 Block 5,Kowloon Station,3,18300000,22,755,FALSE,22.3185673,114.1796057,31,23,843,12,439,84,54,7,244,31,6
PARK CENTRAL PHASE 1 Tower 8,Tseung Kwan O,2,6800000,23,436,FALSE,22.3072012,114.2570671,45,6,355,9,212,28,8,6,41,25,0
LOHAS PARK PHASE 2A LE PRESTIGE WATER LILIES (TOWER 5 - R WING,Lohas Park,3,7900000,15,717,FALSE,22.2942962,114.2718172,51,7,63,2,43,7,0,0,1,7,0
SERENE GARDEN Block 2,Tsing Yi,2,4800000,33,431,FALSE,22.3536001,114.1079841,36,14,461,7,135,65,10,6,39,24,0
TAI PO CENTRE Phase 4 BLOCK 8,Tai Po Town Centre,2,4690000,39,451,FALSE,22.451241,114.169245,60,17,698,19,131,95,13,12,73,34,0
Grand Seaview Heights,Tin Hau,2,7300000,23,356,FALSE,22.2834327,114.1921686,17,2,625,6,169,86,25,4,87,40,4
YU TUNG COURT HOR TUNG HOUSE (BLOCK B),Tung Chung Town Centre,1,4500000,28,433,FALSE,22.287054,113.9430324,60,16,217,3,60,15,8,3,8,13,0
VILLA ESPLANADA PHASE 3 BLOCK 11,Tsing Yi,3,9200000,24,703,FALSE,22.361958,114.106534,35,12,476,6,196,71,23,3,74,41,0
TAIKOO SHING HORIZON GARDENS (T-55) KAI TIEN MANSION,Taikoo Shing,3,12300000,38,759,FALSE,22.2864438,114.2175719,25,8,427,6,126,66,14,4,67,27,18
OCEAN PRIDE PHASE 3A OCEAN SUPREME TOWER 5B,Tsuen Wan West,2,10500000,6,530,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
Lohas Park PHASE 6 LP6 Tower 3,Lohas Park,1,3850000,5,307,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
GRANDEUR GARDEN BLOCK 4,Tai Wai,2,4800000,40,328,TRUE,22.3738909,114.1772603,36,15,448,11,112,46,10,9,77,31,1
OCEAN SHORES PHASE 1 TOWER 3,Tiu Keng Leng,1,6000000,24,399,FALSE,22.3031707,114.2527951,39,5,228,6,207,10,2,2,33,18,0
SEANORAMA Tower 3A,Wu Kai Sha,3,9300000,7,780,TRUE,22.432798,114.2428751,65,12,99,2,48,5,4,1,16,8,0
Corinthia By The Sea Tower 2,Tseung Kwan O,3,15800000,9,773,TRUE,22.3040348,114.2590547,45,7,324,9,179,21,7,6,32,26,0
Lohas Park PHASE 10 LP10 Tower 1 (1B),Lohas Park,2,6500000,3,485,FALSE,22.292477,114.267387,51,15,69,2,44,7,0,0,1,7,0
THE HORIZON COURT C TOWER 1,Pak Shek Kok,3,11380000,6,793,FALSE,22.4302982,114.2074742,59,46,71,0,18,6,1,0,5,11,2
st. Barths PHASE 1 Sandalwood Court Tower 1,Wu Kai Sha,4,15000000,6,983,FALSE,22.427875,114.236606,64,11,255,2,75,24,4,2,27,23,0
THE WOODSVILLE Tower 8,Hung Shui Kiu North New Development Area,4,8800000,11,974,TRUE,22.4335779,113.9999376,73,28,149,1,39,19,0,2,26,9,2
CHELSEA COURT TOWER WEST (B1),Tsuen Wan West,1,5380000,20,360,TRUE,22.3659855,114.1195241,42,25,867,17,235,110,27,7,130,59,0
DOUBLE COVE PHASE 2 DOUBLE COVE STARVIEW Block 18,Wu Kai Sha,2,8200000,11,546,FALSE,22.4298983,114.2451658,61,5,110,2,47,5,4,1,15,9,0
Riviera Gardens Hoi Fung Mansion (Block 12),Tsuen Wan Hoi Bun,2,5000000,36,422,FALSE,22.361249,114.113615,45,30,455,4,266,50,30,2,102,44,0
THE YOHO HUB PHASE B TOWER 1,Yuen Long Station,2,7450000,2,458,FALSE,22.4447347,114.0346506,59,7,459,3,109,42,14,4,45,37,1
